entrance,target_x,target_y,trials,mice,role
"# Reward targets for experiment 2022-08-12 (protocol 2_target_REL)."
"# Trials 1-18 -> target A. Trials 19-26, Probe, Probe2, Habituation* -> target B."
"# Reverse (previous) target A is recorded for 19-26, Probe, Probe2."
"# Entrances are static per mouse; Probe2 is run from the 180-rotated entrance."
SW,39.68,11.97,1-18,,reward
SW,-22.36,-17.80,"19-26, Probe, Probe2, Habituation*",,reward
SW,39.68,11.97,"19-26, Probe, Probe2",,reverse
SE,-11.18,38.58,1-18,,reward
SE,18.27,-22.99,"19-26, Probe, Probe2, Habituation*",,reward
SE,-11.18,38.58,"19-26, Probe, Probe2",,reverse
NE,-37.48,-11.65,1-18,,reward
NE,23.46,18.27,"19-26, Probe, Probe2, Habituation*",,reward
NE,-37.48,-11.65,"19-26, Probe, Probe2",,reverse
NW,12.28,-38.74,1-18,,reward
NW,-17.32,22.83,"19-26, Probe, Probe2, Habituation*",,reward
NW,12.28,-38.74,"19-26, Probe, Probe2",,reverse
