entrance,target_x,target_y,trials,mice,role
"# Reward targets for experiment <DATE>. Rename to <DATE>_targets.csv before use."
"# entrance: NW / NE / SW / SE. Room directions; must match what Ethovision recorded."
"# target_x, target_y: target coordinates in cm. Never (0, 0)."
"# trials: which trials use this row. Examples: all ; 1-20 ; 1,2,5 ; remaining ; Probe ; R*"
"# mice: blank = all mice. Or list IDs (e.g. 54,55) when the target differs by mouse."
"# role: reward (default) or reverse (the rotated / previous target)."
"# Multiple reward rows matching one trial = that trial has multiple targets (K x 2)."
NW,45.0,12.0,1-20,,reward
NW,-30.0,50.0,remaining,,reward
NW,80.0,-10.0,R*,,reverse
